element,parent,trade_value,color,dummy_value
Therapeutic Appliances,Instruments and apparatus,55392206.0,0.0183879525095474,0.5690235690235691
Breathing Appliances,Instruments and apparatus,26492.0,8.794263183577302e-06,0.5690235690235691
Orthopedic Appliances,Instruments and apparatus,816882369.0,0.27117161947041024,0.5690235690235691
X-Ray Equipment,Instruments and apparatus,1275180.0,0.00042330773540820264,0.5690235690235691
Instructional Models,Instruments and apparatus,1867046.0,0.0006197831005528185,0.5690235690235691
Tensile Testing Machines,Instruments and apparatus,1575619.0,0.0005230412261454358,0.5690235690235691
Hydrometers,Instruments and apparatus,3332308.0,0.0011061903050256724,0.5690235690235691
Gas and Liquid Flow Measuring Instruments,Instruments and apparatus,5965128.0,0.00198017913165205,0.5690235690235691
Chemical Analysis Instruments,Instruments and apparatus,1293502.0,0.0004293898919101467,0.5690235690235691
Utility Meters,Instruments and apparatus,214798.0,7.130417270519543e-05,0.5690235690235691
Revolution Counters,Instruments and apparatus,1002838.0,0.0003329013023740108,0.5690235690235691
Oscilloscopes,Instruments and apparatus,15208780.0,0.005048694474600891,0.5690235690235691
Other Measuring Instruments,Instruments and apparatus,15885024.0,0.005273179893305218,0.5690235690235691
Thermostats,Instruments and apparatus,11920445.0,0.003957101411571725,0.5690235690235691
Opto-Electric Instrument Parts,Instruments and apparatus,7931135.0,0.0026328132468096547,0.5690235690235691
Musical instruments,Instruments,103814.0,2.531209365403846e-05,18.77777777777778
Pianos,Musical instruments,11392.0,0.4635039466189275,2.682539682539683
String Instruments,Musical instruments,21986.0,0.8945398323704126,2.682539682539683
Wind Instruments,Musical instruments,2776.0,0.11294653755391,2.682539682539683
Percussion,Musical instruments,24578.0,1.0,2.682539682539683
Electric Musical Instruments,Musical instruments,17781.0,0.7234518675238018,2.682539682539683
Other Musical Instruments,Musical instruments,3277.0,0.13333062088046221,2.682539682539683
Musical Instrument Parts,Musical instruments,22024.0,0.8960859305069574,2.682539682539683
Machines,Exportations,1009385680.0,0.24606348438690914,56.333333333333336
Electrical machinery and equipment,Machines,846931658.0,1.0,28.166666666666668
Electric Motors,Electrical machinery and equipment,7071900.0,0.03724658991113181,0.5868055555555556
Electric Generating Sets,Electrical machinery and equipment,306357.0,0.001613534346555326,0.5868055555555556
Electric Motor Parts,Electrical machinery and equipment,2864148.0,0.015085019019045569,0.5868055555555556
Electrical Transformers,Electrical machinery and equipment,14116783.0,0.07435088551385584,0.5868055555555556
Electromagnets,Electrical machinery and equipment,825125.0,0.004345804168670745,0.5868055555555556
Batteries,Electrical machinery and equipment,11525760.0,0.060704373101164694,0.5868055555555556
Electric Batteries,Electrical machinery and equipment,4300886.0,0.022652093086232564,0.5868055555555556
Vacuum Cleaners,Electrical machinery and equipment,1287531.0,0.006781224162512119,0.5868055555555556
Other Domestic Electric Housewares,Electrical machinery and equipment,220696.0,0.0011623712732118875,0.5868055555555556
Hair Trimmers,Electrical machinery and equipment,5692.0,2.997887268968202e-05,0.5868055555555556
Electrical Ignitions,Electrical machinery and equipment,829298.0,0.004367782706220647,0.5868055555555556
Electrical Lighting and Signalling Equipment,Electrical machinery and equipment,30073476.0,0.1583922888861925,0.5868055555555556
Portable Lighting,Electrical machinery and equipment,21400.0,0.00011271044897385721,0.5868055555555556
Electric Furnaces,Electrical machinery and equipment,471409.0,0.0024828373850615446,0.5868055555555556
Electric Soldering Equipment,Electrical machinery and equipment,4811958.0,0.025343829281464673,0.5868055555555556
Electric Heaters,Electrical machinery and equipment,1036085.0,0.005456897454442937,0.5868055555555556
Telephones,Electrical machinery and equipment,6847855.0,0.03606657997933986,0.5868055555555556
Microphones and Headphones,Electrical machinery and equipment,1703430.0,0.008971699069884934,0.5868055555555556
